"id","user_id","subscription_id","input_tokens","output_tokens","total_tokens","input_cost_usd","output_cost_usd","total_cost_usd","chat_type","model_used","created_at"
"5b024710-8bf1-47ce-8a5d-ae641ef82589","6a02a5ca-3348-4f21-9e62-4358ab30e15d","13ef87ee-e618-478d-b93e-7f332148074a","1787","512","2299","0.00044409","0.00056320","0.00100729","subject","deepseek-chat","2025-09-10 18:35:20.70206"
"5b1f3aa6-d337-43c1-9696-db8e91e1eac7","b067ddd6-5c65-47b0-9862-9b0d0176d962","bcfeb538-5a11-4edf-9699-625eddfcff10","297","1075","1372","0.00004179","0.00118250","0.00122429","pdf","deepseek-chat","2025-09-08 18:10:33.030086"
"5d7cde9b-e129-4cf3-8dbf-c05fcb00f31a","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","1562","385","1947","0.00011454","0.00042350","0.00053804","dashboard","deepseek-chat","2025-09-08 17:04:43.416002"
"69b9883f-6c65-43d7-897a-dd7f691bbc51","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","877","683","1560","0.00007039","0.00075130","0.00082169","dashboard","deepseek-chat","2025-09-09 09:06:57.963823"
"6a8ca9ed-41ec-416c-b648-493111853a62","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","813","489","1302","0.00006591","0.00053790","0.00060381","dashboard","deepseek-chat","2025-09-08 15:43:07.870987"
"6b3c0f9b-8f3b-4623-99f3-0c1ff6f0a395","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","1228","593","1821","0.00010116","0.00065230","0.00075346","dashboard","deepseek-chat","2025-09-09 21:09:58.536405"
"6e2909ce-3a28-4278-80e2-a3e02fc51f72","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","1997","590","2587","0.00014239","0.00064900","0.00079139","dashboard","deepseek-chat","2025-09-09 21:09:42.873986"
"6fc2d0db-664d-4ba2-b789-ecbcbbe827a3","6a02a5ca-3348-4f21-9e62-4358ab30e15d","13ef87ee-e618-478d-b93e-7f332148074a","2644","884","3528","0.00071388","0.00097240","0.00168628","subject","deepseek-chat","2025-09-09 21:41:35.30379"
"6fca6b91-a63e-4cb4-b303-86f33d987bb3","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","1144","276","1420","0.00009128","0.00030360","0.00039488","dashboard","deepseek-chat","2025-09-09 21:18:06.476586"
"70053e6a-d365-4e80-9c2e-5aa77bf894ca","6a02a5ca-3348-4f21-9e62-4358ab30e15d","13ef87ee-e618-478d-b93e-7f332148074a","1236","517","1753","0.00028252","0.00056870","0.00085122","dashboard","deepseek-chat","2025-09-09 20:58:07.075124"
"723062c1-8366-4624-979c-eda8e3786067","ec8a5a55-8c5a-44f2-940d-c0632b969960","b8a54648-8d0a-4ebd-8961-393c841e06ea","393","198","591","0.00004211","0.00021780","0.00025991","dashboard","deepseek-chat","2025-09-06 22:48:33.157969"
"72bc2008-c741-43d9-9179-1e50f81c39e2","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","230","715","945","0.00002370","0.00078650","0.00081020","subject","deepseek-chat","2025-09-08 15:21:54.079759"
"73403572-b1af-440f-91a3-0085edd38899","ec8a5a55-8c5a-44f2-940d-c0632b969960","b8a54648-8d0a-4ebd-8961-393c841e06ea","295","91","386","0.00002845","0.00010010","0.00012855","dashboard","deepseek-chat","2025-09-06 22:48:07.502056"
"74cd7a5d-364a-4be7-95a3-82a9fd554498","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","3434","868","4302","0.00069678","0.00095480","0.00165158","dashboard","deepseek-chat","2025-09-09 21:18:42.217207"
"7b3da4cf-ca6b-4759-84ac-0cbf4aacd35c","b4f9be4d-9c0f-44b1-8762-34c0ec73f445","479cfc30-f3ae-483a-8ca7-8e95b19fa7b1","2084","1181","3265","0.00051148","0.00129910","0.00181058","dashboard","deepseek-chat","2025-09-05 22:37:20.972129"
"85d0056d-3524-499f-807d-21588efa2f4a","9e22c51b-9829-47f7-932c-ed4eb0dd1fd8","dd710c63-6f90-4a29-8aef-1d03bf893e55","1807","460","2267","0.00043669","0.00050600","0.00094269","dashboard","deepseek-chat","2025-09-10 04:32:14.405738"
"85d17933-07b4-4428-863c-f34357b14a4e","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","2512","705","3217","0.00062704","0.00077550","0.00140254","dashboard","deepseek-chat","2025-09-05 16:19:38.107929"
"90925056-71ce-48eb-a169-9ba973d3d533","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","1263","503","1766","0.00009781","0.00055330","0.00065111","dashboard","deepseek-chat","2025-09-09 21:25:26.669891"
"95dc9e0b-7737-4c6f-95e4-708dfca8ffdf","6a02a5ca-3348-4f21-9e62-4358ab30e15d","13ef87ee-e618-478d-b93e-7f332148074a","294","75","369","0.00007938","0.00008250","0.00016188","dashboard","deepseek-chat","2025-09-03 18:16:36.303392"
"984bdd3e-068c-4cf4-abd0-13cebd265d31","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","230","705","935","0.00002370","0.00077550","0.00079920","subject","deepseek-chat","2025-09-08 15:36:31.510578"
"986ef579-dd33-4cd9-bffc-7e37b39c7c28","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","1263","574","1837","0.00009781","0.00063140","0.00072921","dashboard","deepseek-chat","2025-09-09 21:25:37.776504"
"9a68bbbc-201b-44f7-b3bd-af53694cd9f0","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","813","320","1133","0.00006591","0.00035200","0.00041791","dashboard","deepseek-chat","2025-09-08 17:03:28.696013"
